playerName,team,gamesPlayed,plateApp,atBats,hits,homeRuns
CJ Abrams,WSN,33,152,136,37,7
José Abreu,HOU,22,77,71,7,0
Wilyer Abreu,BOS,31,114,98,27,2
Ronald Acuña Jr.,ATL,34,157,134,35,2
Willy Adames,MIL,37,164,143,36,7
Riley Adams,WSN,17,66,58,13,2
Jo Adell,LAA,31,94,83,22,5
Ehire Adrianza#,LAA,8,28,26,5,1
Nick Ahmed,SFG,36,119,110,26,0
Ozzie Albies#,ATL,26,118,107,31,2
Blaze Alexander,ARI,27,83,72,20,3
Nick Allen,OAK,28,77,70,12,1
Pete Alonso,NYM,36,155,137,29,9
Jose Altuve,HOU,37,168,153,50,7
Francisco Alvarez,NYM,16,59,55,13,1
Yordan Alvarez,HOU,37,163,143,35,8
Jacob Amaya,HOU,1,1,1,0,0
Miguel Amaya,CHC,25,83,72,14,1
Tim Anderson,MIA,35,124,118,24,0
Orlando Arcia,ATL,34,134,126,34,3
Nolan Arenado,STL,37,158,140,40,2
Gabriel Arias,CLE,23,75,73,17,1
Randy Arozarena,TBR,37,154,136,20,6
Luis Arráez,TOT,38,170,157,49,0
Luis Arráez,MIA,33,148,137,41,0
Luis Arráez,SDP,5,22,20,8,0
José Azocar,SDP,30,48,44,14,0
Harrison Bader,NYM,30,105,100,28,1
Javier Báez,DET,32,117,108,19,1
Patrick Bailey#,SFG,25,91,79,22,3
David Bañuelos,BAL,1,1,1,0,0
Addison Barger,TOR,5,18,18,1,0
Austin Barnes,LAD,12,36,29,6,0
Tucker Barnhart,ARI,14,45,37,8,0
Jorge Barrosa#,ARI,3,10,10,2,0
Joey Bart,PIT,15,49,41,8,3
Matthew Batten,SDP,1,3,3,1,0
Brett Baty,NYM,34,124,113,29,3
Jake Bauers,MIL,25,80,73,15,3
Mike Baumann,BAL,1,0,0,0,0
Jordan Beck,COL,9,32,32,5,0
Josh Bell#,MIA,39,163,144,29,4
Cody Bellinger,CHC,24,105,92,22,6
Andrew Benintendi,CHW,34,138,132,25,3
Will Benson,CIN,35,133,119,23,4
Jon Berti,NYY,9,29,26,7,0
Christian Bethancourt,MIA,20,48,46,4,0
Mookie Betts,LAD,39,182,153,53,6
Bo Bichette,TOR,34,142,131,25,1
Cavan Biggio,TOR,29,93,78,16,1
Tyler Black,MIL,7,23,22,5,0
Charlie Blackmon,COL,30,117,108,26,1
Dairon Blanco,KCR,25,34,30,9,1
JJ Bleday,OAK,39,146,130,32,4
Xander Bogaerts,SDP,38,167,155,33,2
Alec Bohm,PHI,37,150,133,46,4
Sean Bouchard,COL,14,49,42,12,1
Alex Bregman,HOU,34,146,131,26,1
Will Brennan,CLE,33,112,104,26,4
Jonah Bride,MIA,7,13,12,2,0
Seth Brown,OAK,35,105,97,18,3
Vidal Bruján#,MIA,29,71,64,17,0
Kris Bryant,COL,13,55,47,7,1
